,gene_id,database,kegg_id
2891,PSPTO_RS29195,KEGG_pathway,map02026
2894,PSPTO_RS00005,KEGG_pathway,map02020
2895,PSPTO_RS00005,KEGG_pathway,map04112
2902,PSPTO_RS00010,KEGG_pathway,map00230
2903,PSPTO_RS00010,KEGG_pathway,map00240
2904,PSPTO_RS00010,KEGG_pathway,map01100
2905,PSPTO_RS00010,KEGG_pathway,map03030
2906,PSPTO_RS00010,KEGG_pathway,map03430
2907,PSPTO_RS00010,KEGG_pathway,map03440
2909,PSPTO_RS00015,KEGG_pathway,map03440
2911,PSPTO_RS00370,KEGG_pathway,map03440
2913,PSPTO_RS00375,KEGG_pathway,map02026
2915,PSPTO_RS00410,KEGG_pathway,map00230
2920,PSPTO_RS00415,KEGG_pathway,map00230
2921,PSPTO_RS00415,KEGG_pathway,map00240
2922,PSPTO_RS00415,KEGG_pathway,map01100
2923,PSPTO_RS00415,KEGG_pathway,map03020
2926,PSPTO_RS00420,KEGG_pathway,map00230
2927,PSPTO_RS00420,KEGG_pathway,map01100
2929,PSPTO_RS00440,KEGG_pathway,map03410
2932,PSPTO_RS00445,KEGG_pathway,map00240
2933,PSPTO_RS00445,KEGG_pathway,map01100
2940,PSPTO_RS00460,KEGG_pathway,map00220
2941,PSPTO_RS00460,KEGG_pathway,map01100
2942,PSPTO_RS00460,KEGG_pathway,map01110
2943,PSPTO_RS00460,KEGG_pathway,map01130
2944,PSPTO_RS00460,KEGG_pathway,map01210
2945,PSPTO_RS00460,KEGG_pathway,map01230
2958,PSPTO_RS00465,KEGG_pathway,map00010
2959,PSPTO_RS00465,KEGG_pathway,map00030
2960,PSPTO_RS00465,KEGG_pathway,map00051
2961,PSPTO_RS00465,KEGG_pathway,map00052
2962,PSPTO_RS00465,KEGG_pathway,map00230
2963,PSPTO_RS00465,KEGG_pathway,map00500
2964,PSPTO_RS00465,KEGG_pathway,map00520
2965,PSPTO_RS00465,KEGG_pathway,map00521
2966,PSPTO_RS00465,KEGG_pathway,map01100
2967,PSPTO_RS00465,KEGG_pathway,map01110
2968,PSPTO_RS00465,KEGG_pathway,map01120
2969,PSPTO_RS00465,KEGG_pathway,map01130
2973,PSPTO_RS00470,KEGG_pathway,map00240
2974,PSPTO_RS00470,KEGG_pathway,map00983
2975,PSPTO_RS00470,KEGG_pathway,map01100
2978,PSPTO_RS00475,KEGG_pathway,map00770
2979,PSPTO_RS00475,KEGG_pathway,map01100
2981,PSPTO_RS00485,KEGG_pathway,map02024
2983,PSPTO_RS00490,KEGG_pathway,map03010
2986,PSPTO_RS00505,KEGG_pathway,map00330
2987,PSPTO_RS00505,KEGG_pathway,map01100
2990,PSPTO_RS00520,KEGG_pathway,map00564
2991,PSPTO_RS00520,KEGG_pathway,map01100
2994,PSPTO_RS00535,KEGG_pathway,map00330
2995,PSPTO_RS00535,KEGG_pathway,map01100
2997,PSPTO_RS00550,KEGG_pathway,map00360
3001,PSPTO_RS00560,KEGG_pathway,map00473
3002,PSPTO_RS00560,KEGG_pathway,map01100
3003,PSPTO_RS00560,KEGG_pathway,map01502
3005,PSPTO_RS00585,KEGG_pathway,map00920
3009,PSPTO_RS00600,KEGG_pathway,map00230
3010,PSPTO_RS00600,KEGG_pathway,map01100
3011,PSPTO_RS00600,KEGG_pathway,map01110
3014,PSPTO_RS00625,KEGG_pathway,map02020
3015,PSPTO_RS00625,KEGG_pathway,map02030
3022,PSPTO_RS00670,KEGG_pathway,map00220
3023,PSPTO_RS00670,KEGG_pathway,map00250
3024,PSPTO_RS00670,KEGG_pathway,map01100
3025,PSPTO_RS00670,KEGG_pathway,map01110
3026,PSPTO_RS00670,KEGG_pathway,map01130
3027,PSPTO_RS00670,KEGG_pathway,map01230
3029,PSPTO_RS00675,KEGG_pathway,map02020
3031,PSPTO_RS00680,KEGG_pathway,map02020
3036,PSPTO_RS00685,KEGG_pathway,map00860
3037,PSPTO_RS00685,KEGG_pathway,map01100
3038,PSPTO_RS00685,KEGG_pathway,map01110
3039,PSPTO_RS00685,KEGG_pathway,map01120
3044,PSPTO_RS00690,KEGG_pathway,map00860
3045,PSPTO_RS00690,KEGG_pathway,map01100
3046,PSPTO_RS00690,KEGG_pathway,map01110
3047,PSPTO_RS00690,KEGG_pathway,map01120
3052,PSPTO_RS00695,KEGG_pathway,map00860
3053,PSPTO_RS00695,KEGG_pathway,map01100
3054,PSPTO_RS00695,KEGG_pathway,map01110
3055,PSPTO_RS00695,KEGG_pathway,map01120
3062,PSPTO_RS00835,KEGG_pathway,map00260
3063,PSPTO_RS00835,KEGG_pathway,map00400
3064,PSPTO_RS00835,KEGG_pathway,map01100
3065,PSPTO_RS00835,KEGG_pathway,map01110
3066,PSPTO_RS00835,KEGG_pathway,map01130
3067,PSPTO_RS00835,KEGG_pathway,map01230
3074,PSPTO_RS00840,KEGG_pathway,map00260
3075,PSPTO_RS00840,KEGG_pathway,map00400
3076,PSPTO_RS00840,KEGG_pathway,map01100
3077,PSPTO_RS00840,KEGG_pathway,map01110
3078,PSPTO_RS00840,KEGG_pathway,map01130
3079,PSPTO_RS00840,KEGG_pathway,map01230
3081,PSPTO_RS00880,KEGG_pathway,map02010
3087,PSPTO_RS00895,KEGG_pathway,map00400
3088,PSPTO_RS00895,KEGG_pathway,map01100
3089,PSPTO_RS00895,KEGG_pathway,map01110
3090,PSPTO_RS00895,KEGG_pathway,map01130
3091,PSPTO_RS00895,KEGG_pathway,map01230
3095,PSPTO_RS00900,KEGG_pathway,map00860
3096,PSPTO_RS00900,KEGG_pathway,map01100
3097,PSPTO_RS00900,KEGG_pathway,map01110
3100,PSPTO_RS00945,KEGG_pathway,map00670
3101,PSPTO_RS00945,KEGG_pathway,map00970
3104,PSPTO_RS00965,KEGG_pathway,map00540
3105,PSPTO_RS00965,KEGG_pathway,map01100
3107,PSPTO_RS00970,KEGG_pathway,map03410
3109,PSPTO_RS00975,KEGG_pathway,map00970
3111,PSPTO_RS00980,KEGG_pathway,map00970
3114,PSPTO_RS00985,KEGG_pathway,map00540
3115,PSPTO_RS00985,KEGG_pathway,map01100
3120,PSPTO_RS00990,KEGG_pathway,map00561
3121,PSPTO_RS00990,KEGG_pathway,map00564
3122,PSPTO_RS00990,KEGG_pathway,map01100
3123,PSPTO_RS00990,KEGG_pathway,map01110
3126,PSPTO_RS01000,KEGG_pathway,map00643
3127,PSPTO_RS01000,KEGG_pathway,map01120
3136,PSPTO_RS01070,KEGG_pathway,map00270
3137,PSPTO_RS01070,KEGG_pathway,map00920
3138,PSPTO_RS01070,KEGG_pathway,map01100
3139,PSPTO_RS01070,KEGG_pathway,map01110
3140,PSPTO_RS01070,KEGG_pathway,map01120
3141,PSPTO_RS01070,KEGG_pathway,map01130
3142,PSPTO_RS01070,KEGG_pathway,map01200
3143,PSPTO_RS01070,KEGG_pathway,map01230
3150,PSPTO_RS01110,KEGG_pathway,map00300
3151,PSPTO_RS01110,KEGG_pathway,map01100
3152,PSPTO_RS01110,KEGG_pathway,map01110
3153,PSPTO_RS01110,KEGG_pathway,map01120
3154,PSPTO_RS01110,KEGG_pathway,map01130
3155,PSPTO_RS01110,KEGG_pathway,map01230
3158,PSPTO_RS01120,KEGG_pathway,map00310
3159,PSPTO_RS01120,KEGG_pathway,map01120
3163,PSPTO_RS01165,KEGG_pathway,map00740
3164,PSPTO_RS01165,KEGG_pathway,map01100
3165,PSPTO_RS01165,KEGG_pathway,map01110
3172,PSPTO_RS01180,KEGG_pathway,map00300
3173,PSPTO_RS01180,KEGG_pathway,map01100
3174,PSPTO_RS01180,KEGG_pathway,map01110
3175,PSPTO_RS01180,KEGG_pathway,map01120
3176,PSPTO_RS01180,KEGG_pathway,map01130
3177,PSPTO_RS01180,KEGG_pathway,map01230
3184,PSPTO_RS01185,KEGG_pathway,map00300
3185,PSPTO_RS01185,KEGG_pathway,map01100
3186,PSPTO_RS01185,KEGG_pathway,map01110
3187,PSPTO_RS01185,KEGG_pathway,map01120
3188,PSPTO_RS01185,KEGG_pathway,map01130
3189,PSPTO_RS01185,KEGG_pathway,map01230
3193,PSPTO_RS01220,KEGG_pathway,map00230
3194,PSPTO_RS01220,KEGG_pathway,map02026
3195,PSPTO_RS01220,KEGG_pathway,map05111
3205,PSPTO_RS01265,KEGG_pathway,map00010
3206,PSPTO_RS01265,KEGG_pathway,map00020
3207,PSPTO_RS01265,KEGG_pathway,map00620
3208,PSPTO_RS01265,KEGG_pathway,map00710
3209,PSPTO_RS01265,KEGG_pathway,map01100
3210,PSPTO_RS01265,KEGG_pathway,map01110
3211,PSPTO_RS01265,KEGG_pathway,map01120
3212,PSPTO_RS01265,KEGG_pathway,map01130
3213,PSPTO_RS01265,KEGG_pathway,map01200
3218,PSPTO_RS01315,KEGG_pathway,map00361
3219,PSPTO_RS01315,KEGG_pathway,map00625
3220,PSPTO_RS01315,KEGG_pathway,map01100
3221,PSPTO_RS01315,KEGG_pathway,map01120
3223,PSPTO_RS01325,KEGG_pathway,map02024
3225,PSPTO_RS01330,KEGG_pathway,map02024
3227,PSPTO_RS01335,KEGG_pathway,map02024
3229,PSPTO_RS01340,KEGG_pathway,map02024
3232,PSPTO_RS01355,KEGG_pathway,map00260
3233,PSPTO_RS01355,KEGG_pathway,map01100
3240,PSPTO_RS01360,KEGG_pathway,map00220
3241,PSPTO_RS01360,KEGG_pathway,map01100
3242,PSPTO_RS01360,KEGG_pathway,map01110
3243,PSPTO_RS01360,KEGG_pathway,map01130
3244,PSPTO_RS01360,KEGG_pathway,map01210
3245,PSPTO_RS01360,KEGG_pathway,map01230
3253,PSPTO_RS01365,KEGG_pathway,map00250
3254,PSPTO_RS01365,KEGG_pathway,map00310
3255,PSPTO_RS01365,KEGG_pathway,map00350
3256,PSPTO_RS01365,KEGG_pathway,map00650
3257,PSPTO_RS01365,KEGG_pathway,map00760
3258,PSPTO_RS01365,KEGG_pathway,map01100
3259,PSPTO_RS01365,KEGG_pathway,map01120
3266,PSPTO_RS01370,KEGG_pathway,map00260
3267,PSPTO_RS01370,KEGG_pathway,map00620
3268,PSPTO_RS01370,KEGG_pathway,map00630
3269,PSPTO_RS01370,KEGG_pathway,map01100
3270,PSPTO_RS01370,KEGG_pathway,map01110
