Sample	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	pe_sense	pe_antisense	failed	se_sense	se_antisense
ERX1050026	12906882	1808968	3345960	1051113	0	0	0	0	3363	0	0	0	0	6438308	220963	38207	14.015530629318528	12906882.0	11855769.0	91.86	1051113.0	8.14	ERX1050026_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12906882.0	0.0	20-101	55.0	16.900382789458572	96.67463791797277	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass	13069762	3887777	13069762	1320045962	72686059	1241776137	5.9293257396442085	0.4413	0.139	0.4197		
ERX1050027	12903505	1929443	3285599	844982	0	0	0	0	4050	0	0	0	0	6593468	203940	42023	14.952859707498078	12903505.0	12058523.0	93.45	844982.0	6.55	ERX1050027_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12903505.0	0.0	20-101	55.0	18.374636475085506	95.31183736511902	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass	13097763	3838657	13097763	1322874063	77398923	1240050828	6.260855611015182	0.4448	0.1518	0.4034		
ERX1050028	15102236	7738394	67572	2071735	0	0	0	0	6605	0	0	0	0	4529668	565596	122666	51.2400547839406	15102236.0	13030501.0	86.28	2071735.0	13.72	ERX1050028_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15102236.0	0.0	20-101	55.0	25.33838188677614	96.75727196952822	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass	15293443	3977792	15293443	1544637743	64751255	1473531128	4.603449276197052	0.3186	0.2902	0.3912		
ERX1050029	13307676	4987996	1868947	3989453	0	0	0	0	10111	0	0	0	0	2016272	331990	102907	37.482096798870074	13307676.0	9318223.0	70.02	3989453.0	29.98	ERX1050029_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13307676.0	0.0	20-101	54.0	20.817072565837925	97.46480767941749	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass	13485785	3881410	13485785	1362064285	35111071	1320614420	3.0431651028864617	0.3714	0.2454	0.3832		
SRX1828913	18238610	11482384	65272	2227695	0	0	0	0	0	0	0	0	0	3722368	732903	7988	62.95646433582384	18238610.0	16010915.0	87.79	2227695.0	12.21	SRX1828913_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18238610.0	0.0	20-101	54.0	20.77335743494532	97.92921905781199	pass	pass	warn	pass	warn	fail	pass	warn	fail	fail	pass	18528447	6458855	18528447	1871373147	36582772	1800306321	3.797576454162939			0.3728	0.5704	0.0569
SRX1828914	21743603	13256148	103407	2890415	0	0	0	0	0	0	0	0	0	4465053	1017541	11039	60.96573783103012	21743603.0	18853188.0	86.71	2890415.0	13.29	SRX1828914_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21743603.0	0.0	20-101	55.0	18.980921823346925	97.79901711781622	pass	pass	warn	pass	warn	pass	pass	warn	fail	fail	pass	22088780	7483357	22088780	2230966780	41581347	2143770482	3.9084534463574583			0.406	0.5272	0.0668
SRX1828915	20251691	12042132	56980	2748068	0	0	0	0	0	0	0	0	0	4582720	812841	8950	59.46235304498771	20251691.0	17503623.0	86.43	2748068.0	13.57	SRX1828915_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20251691.0	0.0	20-101	54.0	19.916350522969662	97.40402379238355	pass	pass	warn	pass	warn	fail	pass	warn	fail	fail	pass	20591295	7607451	20591295	2079720795	40198535	1988377281	4.392104662299152			0.3668	0.5744	0.0589
SRX1828916	21084846	13085575	70181	2540297	0	0	0	0	0	0	0	0	0	4342306	1035271	11216	62.061515649675606	21084846.0	18544549.0	87.95	2540297.0	12.05	SRX1828916_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21084846.0	0.0	20-101	55.0	16.546406022600774	98.57326868785287	pass	pass	warn	pass	warn	warn	pass	warn	fail	fail	pass	21407214	6760251	21407214	2162128614	40215698	2095193112	3.0958150022429702			0.3931	0.5394	0.0675
SRX1828917	20232162	12779020	57296	2492663	0	0	0	0	0	0	0	0	0	4138821	756396	7966	63.16191022986075	20232162.0	17739499.0	87.68	2492663.0	12.32	SRX1828917_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20232162.0	0.0	20-101	55.0	19.629201259639572	98.1978424253424	pass	pass	warn	pass	warn	fail	pass	warn	fail	fail	pass	20530035	6933984	20530035	2073533535	38084085	2002566910	3.422497095037337			0.3739	0.5709	0.0552
SRX1828918	20387004	12417128	92566	2888749	0	0	0	0	0	0	0	0	0	4053203	926302	9056	60.90707589992134	20387004.0	17498255.0	85.83	2888749.0	14.17	SRX1828918_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20387004.0	0.0	20-101	55.0	16.41762230704511	98.27019968211121	pass	pass	warn	pass	warn	fail	pass	warn	fail	fail	pass	20714278	6623337	20714278	2092142078	39156777	2019849210	3.4554473503591567			0.3939	0.5339	0.0722
SRX3158988	33406379	3366291	1819398	26457730	0	0	0	0	0	0	0	0	0	1572707	185802	4451	10.076791022457119	33406379.0	6948649.0	20.8	26457730.0	79.2	SRX3158988_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33406379.0	0.0	20-50	47.0	22.819472485164102	49.441905092437594	pass	pass	warn	pass	fail	warn	pass	warn	fail	warn	pass	33434418	11367141	33434418	1671720900	3668894	1651778326	1.1929368114019512			0.2837	0.6579999999999999	0.0583
SRX3158989	30222257	511576	553109	28741468	0	0	0	0	0	0	0	0	0	385571	30010	523	1.6927127580180394	30222257.0	1480789.0	4.9	28741468.0	95.1	SRX3158989_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30222257.0	0.0	20-50	46.0	24.277815587165875	49.43114940091999	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass	30247194	10472936	30247194	1512359700	3151848	1494012737	1.2131348778997484			0.2955	0.6317	0.0728
SRX3158990	40192453	521662	681994	38581101	0	0	0	0	0	0	0	0	0	376838	30355	503	1.29791033157394	40192453.0	1611352.0	4.01	38581101.0	95.99	SRX3158990_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	40192453.0	0.0	20-50	46.0	25.478378889757728	49.43149648019742	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass	40231139	13911913	40231139	2011556950	4243588	1986895594	1.2259834850810465			0.2866	0.6444	0.069
SRX3158991	37254632	1017415	826778	34802524	0	0	0	0	0	0	0	0	0	547756	59175	984	2.7309758421449444	37254632.0	2452108.0	6.58	34802524.0	93.42	SRX3158991_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	37254632.0	0.0	20-50	46.0	25.831587337548505	49.43337462036936	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass	37306955	12755900	37306955	1865347750	4861120	1841782389	1.2633226699954472			0.2769	0.6608	0.0622
SRX3158992	37345683	2026576	1223355	32982131	0	0	0	0	0	0	0	0	0	995008	115663	2950	5.4265335032164215	37345683.0	4363552.0	11.68	32982131.0	88.32	SRX3158992_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	37345683.0	0.0	20-50	46.0	22.611860464732388	49.428274882534616	pass	pass	warn	pass	fail	warn	pass	warn	fail	warn	pass	37397150	13047145	37397150	1869857500	4950114	1846090651	1.2710513501697325			0.2806	0.6578	0.0616
SRX3158993	35639054	262407	435245	34643131	0	0	0	0	0	0	0	0	0	279962	18032	277	0.7362905872866322	35639054.0	995923.0	2.79	34643131.0	97.21	SRX3158993_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35639054.0	0.0	20-50	45.0	23.628556822126303	49.42654381342445	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass	35690235	12426698	35690235	1784511750	4621289	1761666043	1.2802217189099483			0.2727	0.6478	0.0794
SRX3158994	36974200	214082	468679	35980175	0	0	0	0	0	0	0	0	0	296725	14333	206	0.5790037377414521	36974200.0	994025.0	2.69	35980175.0	97.31	SRX3158994_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36974200.0	0.0	20-50	46.0	23.44240277138741	49.43552320266564	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	37042093	12831780	37042093	1852104650	5385736	1828026883	1.3000219507034874			0.3038	0.6029	0.0933
SRX3158995	31403666	251733	398432	30450080	0	0	0	0	0	0	0	0	0	287171	15964	286	0.801603863701773	31403666.0	953586.0	3.04	30450080.0	96.96	SRX3158995_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	31403666.0	0.0	20-50	46.0	24.883326687665928	49.43571021294138	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	31458932	10866280	31458932	1572946600	4553612	1552621866	1.29214392910732			0.2998	0.6081	0.0921
SRX3158996	36162434	2301873	1419331	31074023	0	0	0	0	0	0	0	0	0	1234259	130096	2852	6.365370760165093	36162434.0	5088411.0	14.07	31074023.0	85.93	SRX3158996_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36162434.0	0.0	20-50	46.0	20.923095835067173	49.4345784080795	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	36228327	12608322	36228327	1811416350	5348109	1787862796	1.300283835905533			0.2728	0.6637	0.0634
SRX3158997	35794761	137095	352779	35084618	0	0	0	0	0	0	0	0	0	211694	8448	127	0.3830029763294131	35794761.0	710143.0	1.98	35084618.0	98.02	SRX3158997_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35794761.0	0.0	20-50	46.0	22.66052770100557	49.42390996827721	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	35865522	12475394	35865522	1793276100	5790689	1769316425	1.3360839973275729			0.3277	0.5674	0.1049
