Sample	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	pe_sense	pe_antisense	failed	se_sense	se_antisense
SRX3158998	36968339	201155	492395	36020451	0	0	0	0	0	0	0	0	0	241489	12642	207	0.5441277737687917	36968339.0	947888.0	2.56	36020451.0	97.44	SRX3158998_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36968339.0	0.0	20-50	46.0	22.175902722797648	49.422376915554686	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	37052072	12963387	37052072	1852603600	6064950	1827273216	1.3672856945760008			0.2955	0.6275	0.0771
SRX3158999	36648022	202742	462423	35709709	0	0	0	0	0	0	0	0	0	259524	13479	145	0.5532140315785665	36648022.0	938313.0	2.56	35709709.0	97.44	SRX3158999_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36648022.0	0.0	20-50	45.0	23.228889775997033	49.41912996013809	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	36730300	12861941	36730300	1836515000	6159875	1811328929	1.3714056786903457			0.2836	0.632	0.0844
SRX3159000	10849844	1410229	1930	9096240	0	0	0	0	0	0	0	0	0	225311	114425	1709	12.997689183365214	10849844.0	1753604.0	16.16	9096240.0	83.84	SRX3159000_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10849844.0	0.0	20-150	45.0	18.506153632279826	143.0232839292436	pass	pass		pass	fail	fail	pass	warn	fail	warn	pass	10850045	3882410	10850045	1567647326	2991078	1556773480	0.6936410900368544			0.3781	0.5844	0.0376
SRX3159001	9400765	3011741	5357	5648925	0	0	0	0	0	0	0	0	0	488170	242948	3624	32.03719059034025	9400765.0	3751840.0	39.91	5648925.0	60.09	SRX3159001_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9400765.0	0.0	20-150	49.0	27.348419726968324	141.95217389223112	pass	pass		pass	fail	fail	pass	warn	fail	warn	pass	9401104	3014993	9401104	1347744137	2898090	1338401346	0.6932169648162232			0.3781	0.586	0.036000000000000004
SRX3159002	10867230	2079359	1613	8273810	0	0	0	0	0	0	0	0	0	336802	172992	2654	19.134213594448628	10867230.0	2593420.0	23.86	8273810.0	76.14	SRX3159002_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10867230.0	0.0	18-150	47.0	23.745293257874252	142.6852482187273	pass	pass		pass	fail	fail	pass	warn	fail	warn	pass	10868104	3474695	10868104	1563434370	2102164	1556067045	0.4712270077572875			0.3758	0.586	0.0382
SRX3159003	10606327	2493587	1943	7446514	0	0	0	0	0	0	0	0	0	440312	221311	2660	23.510372629469185	10606327.0	3159813.0	29.79	7446514.0	70.21	SRX3159003_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10606327.0	0.0	18-150	48.0	24.316015888337326	140.0974602235062	pass	pass		pass	fail	fail	pass	warn	fail	warn	pass	10607219	3266546	10607219	1497782268	2018060	1490816085	0.4650998445389527			0.3731	0.5878	0.0392
SRX3159004	10957217	2133963	1188	8251575	0	0	0	0	0	0	0	0	0	379775	188186	2530	19.475410590116088	10957217.0	2705642.0	24.69	8251575.0	75.31	SRX3159004_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10957217.0	0.0	18-150	46.0	20.260472814571933	142.04066999859543	pass	pass		pass	fail	fail	pass	warn	fail	warn	pass	10958024	3539396	10958024	1568653728	1567412	1561674247	0.4449344603858934			0.3759	0.5835	0.0406
SRX3159005	10635921	3127037	2378	6753665	0	0	0	0	0	0	0	0	0	491261	257962	3618	29.40071668452596	10635921.0	3882256.0	36.5	6753665.0	63.5	SRX3159005_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10635921.0	0.0	18-150	49.0	23.163282987450717	143.1240016731978	pass	pass		pass	fail	fail	pass	warn	fail	warn	pass	10636900	3292128	10636900	1534660828	2003866	1527525819	0.4649241623830643			0.3774	0.586	0.0367
SRX3159006	10208412	1999572	1700	7657808	0	0	0	0	0	0	0	0	0	371119	176437	1776	19.587493138012064	10208412.0	2550604.0	24.99	7657808.0	75.01	SRX3159006_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10208412.0	0.0	20-150	47.0	21.445743454918233	140.96505607336383	pass	pass		pass	fail	fail	pass	warn	fail	warn	pass	10208684	3317788	10208684	1452133971	1823992	1443140660	0.6193168935925953			0.3801	0.5796	0.0403
SRX3159007	10615903	2450112	2230	7537994	0	0	0	0	0	0	0	0	0	420563	202337	2667	23.07963816172774	10615903.0	3077909.0	28.99	7537994.0	71.01	SRX3159007_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10615903.0	0.0	18-150	47.0	22.797619755742627	141.0479080300564	pass	pass		pass	fail	fail	pass	warn	fail	warn	pass	10616776	3324579	10616776	1509205155	1792414	1502419847	0.4495948067444813			0.3798	0.5821	0.0381
SRX3159008	11348825	2021173	2459	8818065	0	0	0	0	0	0	0	0	0	337219	168107	1802	17.80953534837307	11348825.0	2530760.0	22.3	8818065.0	77.7	SRX3159008_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11348825.0	0.0	18-150	46.0	24.588207057900682	141.46760056657845	pass	pass		pass	fail	fail	pass	warn	fail	warn	pass	11349740	3718478	11349740	1618355950	1810801	1610901951	0.4605908236689216			0.3857	0.5782	0.0361
SRX3159009	7178124	1895728	2888	4773224	0	0	0	0	0	0	0	0	0	341743	162627	1914	26.409797323088874	7178124.0	2404900.0	33.5	4773224.0	66.5	SRX3159009_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7178124.0	0.0	18-150	48.0	26.418773947455968	140.58435881018494	pass	pass		pass	fail	fail	pass	warn	fail	warn	pass	7178764	2196241	7178764	1017107014	1246581	1012515539	0.451424966773457			0.3863	0.5742	0.0395
SRX3159010	8327851	2620593	169676	5011199	0	0	0	0	0	0	0	0	0	370758	152824	2801	31.467818048137513	8327851.0	3316652.0	39.83	5011199.0	60.17	SRX3159010_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8327851.0	0.0	20-150	50.0	28.163301093710107	130.78130660598995	pass	pass		pass	fail	fail	pass	warn	fail	warn	pass	8328144	2907020	8328144	1101281437	2977282	1091897370	0.8521043472378078			0.3664	0.598	0.0356
SRX3159011	5275173	217626	28105	4985883	0	0	0	0	0	0	0	0	0	31649	11746	164	4.125476074433957	5275173.0	289290.0	5.48	4985883.0	94.52	SRX3159011_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5275173.0	0.0	20-150	42.0	73.42684558699013	136.96420117406575	pass	pass		pass	fail	warn	pass	warn	pass	warn	pass	5275255	2086983	5275255	732114850	2908057	724525537	1.036628747525064			0.3612	0.6058	0.033
SRX3159012	9499943	2340275	146860	6515166	0	0	0	0	0	0	0	0	0	360854	134481	2307	24.634621491939484	9499943.0	2984777.0	31.42	6515166.0	68.58	SRX3159012_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9499943.0	0.0	20-150	47.0	39.82963674845951	139.88814543413577	pass	pass		pass	fail	fail	pass	warn	fail	warn	pass	9500228	3382780	9500228	1345991605	5595023	1333025779	0.9632917435618032			0.3718	0.5925	0.0356
SRX3159013	9133863	3694600	238399	4353688	0	0	0	0	0	0	0	0	0	603609	239659	3908	40.44947904298542	9133863.0	4780175.0	52.33	4353688.0	47.67	SRX3159013_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9133863.0	0.0	20-150	52.0	26.36664810720315	138.7579786340128	pass	pass		pass	fail	fail	pass	warn	fail	warn	pass	9134288	3001925	9134288	1280976201	3134233	1270963465	0.7816488699933309			0.3701	0.5963	0.0336
SRX3159014	10154274	3947255	39566	5245199	0	0	0	0	0	0	0	0	0	640399	278371	3484	38.872843100353606	10154274.0	4909075.0	48.34	5245199.0	51.66	SRX3159014_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10154274.0	0.0	20-150	51.0	16.120489217945334	137.72371328565686	pass	pass		pass	fail	fail	pass	warn	fail	warn	pass	10154656	3360738	10154656	1413088264	3211431	1402373610	0.7582437893631816			0.3818	0.58	0.0382
SRX3159015	7403044	2676158	121772	4041244	0	0	0	0	0	0	0	0	0	388781	172414	2675	36.14942718157558	7403044.0	3361800.0	45.41	4041244.0	54.59	SRX3159015_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7403044.0	0.0	20-150	51.0	21.482369981293033	138.52915949169017	pass	pass		pass	fail	fail	pass	warn	fail	warn	pass	7403360	2430337	7403360	1036347565	2378620	1028370364	0.7697418577907307			0.3778	0.5873	0.035
SRX3159016	9976312	3077914	19993	6138849	0	0	0	0	0	0	0	0	0	510372	226029	3155	30.852222745238922	9976312.0	3837463.0	38.47	6138849.0	61.53	SRX3159016_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9976312.0	0.0	20-150	50.0	21.93945154891336	138.83557791696973	pass	pass		pass	fail	fail	pass	warn	fail	warn	pass	9976748	3382521	9976748	1399958941	3405065	1389047236	0.7794303590222222			0.3731	0.5921	0.0348
SRX3159017	10205119	3600050	51470	5717803	0	0	0	0	0	0	0	0	0	574431	257369	3996	35.27690367941814	10205119.0	4487316.0	43.97	5717803.0	56.03	SRX3159017_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10205119.0	0.0	20-150	50.0	22.13533506471633	138.68541258558574	pass	pass		pass	fail	fail	pass	warn	fail	warn	pass	10205540	3426181	10205540	1430842434	3919438	1419355634	0.8027997861293509			0.3736	0.5917	0.0347
SRX3159018	9449675	3294767	30568	5282172	0	0	0	0	0	0	0	0	0	621169	217736	3263	34.86645837026141	9449675.0	4167503.0	44.1	5282172.0	55.9	SRX3159018_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9449675.0	0.0	20-150	51.0	17.62695168744459	138.4723352919545	pass	pass		pass	fail	fail	pass	warn	fail	warn	pass	9450004	3155469	9450004	1323000436	3359078	1312218071	0.814993306623521			0.3818	0.5791	0.0391
SRX3159019	10133773	3813816	16672	5348608	0	0	0	0	0	0	0	0	0	665208	284976	4493	37.634709204557865	10133773.0	4785165.0	47.22	5348608.0	52.78	SRX3159019_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10133773.0	0.0	20-150	52.0	17.578840201598126	139.81059354694446	pass	pass		pass	fail	fail	pass	warn	fail	warn	pass	10134228	3347730	10134228	1432700730	3877802	1420940334	0.8208550295078023			0.3757	0.5867	0.0376
SRX3159020	11263696	3751216	25716	6470064	0	0	0	0	0	0	0	0	0	741700	271373	3627	33.30359768232381	11263696.0	4793632.0	42.56	6470064.0	57.44	SRX3159020_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11263696.0	0.0	20-150	51.0	19.078859404311192	139.08193438459276	pass	pass		pass	fail	fail	pass	warn	fail	warn	pass	11264096	3754696	11264096	1584197361	4386075	1571177050	0.8218869264989264			0.376	0.5852	0.0388
SRX3159021	9446321	3675429	23969	4653282	0	0	0	0	0	0	0	0	0	809262	281031	3348	38.90857615361578	9446321.0	4793039.0	50.74	4653282.0	49.26	SRX3159021_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9446321.0	0.0	20-150	52.0	18.51578327864636	138.5261670654639	pass	pass		pass	fail	fail	pass	warn	fail	warn	pass	9446681	3051091	9446681	1322876146	3450994	1312324143	0.79765615487937			0.3738	0.5869	0.0393
SRX3159022	9814972	2901282	21954	6177530	0	0	0	0	0	0	0	0	0	497460	213620	3126	29.55975829579545	9814972.0	3637442.0	37.06	6177530.0	62.94	SRX3159022_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9814972.0	0.0	20-150	50.0	15.939304545363948	140.18527021778564	pass	pass		pass	fail	fail	pass	warn	fail	warn	pass	9815470	3316976	9815470	1391561482	3907336	1380102203	0.8234834858701557			0.3777	0.5858	0.0365
SRX3159023	9698840	3495093	16748	5365904	0	0	0	0	0	0	0	0	0	570048	246668	4379	36.03619608118085	9698840.0	4332936.0	44.67	5365904.0	55.33	SRX3159023_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9698840.0	0.0	20-150	51.0	18.020307586160904	139.7646887669041	pass	pass		pass	fail	fail	pass	warn	fail	warn	pass	9699206	3201264	9699206	1370608726	3659990	1359590613	0.803884638335507			0.3843	0.5807	0.035
SRX3159024	10701704	3387475	46449	6520570	0	0	0	0	0	0	0	0	0	506590	237374	3246	31.653603949427122	10701704.0	4181134.0	39.07	6520570.0	60.93	SRX3159024_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10701704.0	0.0	20-150	51.0	20.85669947186242	138.2340887955787	pass	pass		pass	fail	fail	pass	warn	fail	warn	pass	10702244	3505892	10702244	1495854702	4010453	1483528709	0.8240100447937757			0.3842	0.5803	0.0355
SRX3159025	11266942	3977754	46937	6271609	0	0	0	0	0	0	0	0	0	676179	289803	4660	35.30464610539399	11266942.0	4995333.0	44.34	6271609.0	55.66	SRX3159025_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11266942.0	0.0	20-150	51.0	14.958911744043094	139.59698967119914	pass	pass		pass	fail	fail	pass	warn	fail	warn	pass	11267425	3796314	11267425	1591016050	4914157	1577585857	0.8441268081487927			0.3745	0.5916	0.0339
SRX3159026	4233712	1005803	10964	2982881	0	0	0	0	0	0	0	0	0	158817	74303	944	23.757000948576568	4233712.0	1250831.0	29.54	2982881.0	70.46	SRX3159026_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4233712.0	0.0	20-150	49.0	31.337762922677232	137.95318859667356	pass	pass		pass	fail	fail	pass	warn	fail	warn	pass	4233861	1449714	4233861	589269539	399105	585459406	0.6465857723556961			0.3747	0.5874	0.0379
SRX3159027	3507547	956879	1219	2297013	0	0	0	0	0	0	0	0	0	166074	85021	1341	27.280575285234953	3507547.0	1210534.0	34.51	2297013.0	65.49	SRX3159027_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3507547.0	0.0	20-150	48.0	41.00715903695253	140.23713124870457	pass	pass		pass	fail	fail	pass	warn	fail	warn	pass	3507646	1178381	3507646	496371235	554491	493217694	0.6353190470434896			0.3714	0.589	0.0396
SRX3159028	9151062	2068396	1823	6533061	0	0	0	0	0	0	0	0	0	361060	184582	2140	22.602797358383107	9151062.0	2618001.0	28.61	6533061.0	71.39	SRX3159028_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9151062.0	0.0	20-150	47.0	25.30823078364491	142.92663824155053	pass	pass		pass	fail	fail	pass	warn	fail	warn	pass	9151299	2971561	9151299	1320994810	2882798	1311882347	0.6898182287332377			0.3758	0.5856	0.0386
SRX3159029	9013605	2217508	1409	6228957	0	0	0	0	0	0	0	0	0	372729	190454	2548	24.6017880748047	9013605.0	2784648.0	30.89	6228957.0	69.11	SRX3159029_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9013605.0	0.0	20-150	48.0	28.316170985793622	142.23747468410252	pass	pass		pass	fail	fail	pass	warn	fail	warn	pass	9013884	2920187	9013884	1294720136	2669881	1285865882	0.6838739704284633			0.3715	0.5907	0.0378
SRX3159030	10043439	1594111	1132	8044892	0	0	0	0	0	0	0	0	0	259879	141772	1653	15.872162911528614	10043439.0	1998547.0	19.9	8044892.0	80.1	SRX3159030_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10043439.0	0.0	20-150	45.0	21.251777735516857	143.13255559176494	pass	pass		pass	fail	fail	pass	warn	fail	warn	pass	10043661	3591785	10043661	1452107928	2599998	1442174117	0.6840959138403657			0.3737	0.5893	0.037000000000000005
SRX3159031	1609278	363276	575	1137958	0	0	0	0	0	0	0	0	0	72378	34683	408	22.57384988796218	1609278.0	471320.0	29.29	1137958.0	70.71	SRX3159031_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1609278.0	0.0	20-150	47.0	46.43391052871604	139.15619240429558	pass	pass		pass	fail	fail	pass	warn	fail	warn	pass	1609318	541947	1609318	225875833	155877	224509789	0.6047765189647358			0.3722	0.5867	0.0412
