,regulator_old,gene_id_old,regulator,gene_id
0,PSPTO1158,PSPTO1157,PSPTO_RS06115,PSPTO_RS06110
1,PSPTO1158,PSPTO1156,PSPTO_RS06115,PSPTO_RS06105
2,PSPTO1158,PSPTO1155,PSPTO_RS06115,PSPTO_RS06100
3,PSPTO1158,PSPTO1154,PSPTO_RS06115,PSPTO_RS06095
4,PSPTO1158,PSPTO1153,PSPTO_RS06115,PSPTO_RS06090
5,PSPTO1158,PSPTO1158,PSPTO_RS06115,PSPTO_RS06115
6,PSPTO1823,PSPTO1823,PSPTO_RS09500,PSPTO_RS09500
7,PSPTO1823,PSPTO1822,PSPTO_RS09500,PSPTO_RS09495
8,PSPTO1823,PSPTO1821,PSPTO_RS09500,PSPTO_RS09490
9,PSPTO1299,PSPTO1299,PSPTO_RS06850,PSPTO_RS06850
10,PSPTO1299,PSPTO1288,PSPTO_RS06850,PSPTO_RS06800
11,PSPTO1299,PSPTO1289,PSPTO_RS06850,PSPTO_RS06805
12,PSPTO1299,PSPTO1290,PSPTO_RS06850,PSPTO_RS06810
13,PSPTO1299,PSPTO1291,PSPTO_RS06850,PSPTO_RS06815
14,PSPTO1299,PSPTO1300,PSPTO_RS06850,PSPTO_RS06855
15,PSPTO1299,PSPTO1301,PSPTO_RS06850,PSPTO_RS06860
16,PSPTO1299,PSPTO1302,PSPTO_RS06850,PSPTO_RS06865
17,PSPTO1299,PSPTO1287,PSPTO_RS06850,PSPTO_RS06795
18,PSPTO4908,PSPTO2211,PSPTO_RS25370,PSPTO_RS11485
19,PSPTO5515,PSPTO5005,PSPTO_RS28570,PSPTO_RS25880
20,PSPTO5515,PSPTO5006,PSPTO_RS28570,PSPTO_RS25885
21,PSPTO5515,PSPTO5515,PSPTO_RS28570,PSPTO_RS28570
22,PSPTO0610,PSPTO0494,PSPTO_RS03215,PSPTO_RS02575
23,PSPTO0610,PSPTO0495,PSPTO_RS03215,PSPTO_RS02580
24,PSPTO0610,PSPTO0496,PSPTO_RS03215,PSPTO_RS02585
25,PSPTO0610,PSPTO0497,PSPTO_RS03215,PSPTO_RS02590
26,PSPTO0610,PSPTO0498,PSPTO_RS03215,PSPTO_RS02595
27,PSPTO0610,PSPTO0493,PSPTO_RS03215,PSPTO_RS02570
28,PSPTO0689,PSPTO1661,PSPTO_RS03645,PSPTO_RS08695
29,PSPTO0689,PSPTO1671,PSPTO_RS03645,PSPTO_RS08735
30,PSPTO0689,PSPTO3514,PSPTO_RS03645,PSPTO_RS18170
31,PSPTO0384,PSPTO0384,PSPTO_RS02020,PSPTO_RS02020
32,PSPTO0384,PSPTO0383,PSPTO_RS02020,PSPTO_RS02015
33,PSPTO5267,PSPTO5526,PSPTO_RS27215,PSPTO_RS28625
34,PSPTO5267,PSPTO5525,PSPTO_RS27215,PSPTO_RS28620
35,PSPTO5267,PSPTO2578,PSPTO_RS27215,PSPTO_RS13340
36,PSPTO5267,PSPTO2579,PSPTO_RS27215,PSPTO_RS13345
37,PSPTO5267,PSPTO2580,PSPTO_RS27215,PSPTO_RS13350
38,PSPTO5267,PSPTO5527,PSPTO_RS27215,PSPTO_RS28630
39,PSPTO5267,PSPTO0683,PSPTO_RS27215,PSPTO_RS03615
40,PSPTO5267,PSPTO5267,PSPTO_RS27215,PSPTO_RS27215
41,PSPTO5267,PSPTO5266,PSPTO_RS27215,PSPTO_RS27210
42,PSPTO5267,PSPTO5265,PSPTO_RS27215,PSPTO_RS27205
43,PSPTO5267,PSPTO5268,PSPTO_RS27215,PSPTO_RS27220
44,PSPTO2286,PSPTO2286,PSPTO_RS11855,PSPTO_RS11855
45,PSPTO2286,PSPTO2287,PSPTO_RS11855,PSPTO_RS11860
46,PSPTO5172,PSPTO5172,PSPTO_RS26730,PSPTO_RS26730
47,PSPTO5172,PSPTO5173,PSPTO_RS26730,PSPTO_RS26735
