,gene_id,gene_ontology
0,PSPTO_RS13735,molecular_function
1,PSPTO_RS13735,biological_process
2,PSPTO_RS17555,structural molecule activity
3,PSPTO_RS17555,viral process
4,PSPTO_RS14095,molecular_function
5,PSPTO_RS14095,cellular_component
6,PSPTO_RS14095,biological_process
7,PSPTO_RS20695,molecular_function
8,PSPTO_RS20695,cellular_component
9,PSPTO_RS20695,biological_process
10,PSPTO_RS20650,molecular_function
11,PSPTO_RS20650,cellular_component
12,PSPTO_RS20650,biological_process
13,PSPTO_RS03515,molecular_function
14,PSPTO_RS03515,cellular_component
15,PSPTO_RS03515,biological_process
16,PSPTO_RS19950,molecular_function
17,PSPTO_RS19950,cellular_component
18,PSPTO_RS19950,biological_process
19,PSPTO_RS14855,molecular_function
20,PSPTO_RS14855,cellular_component
21,PSPTO_RS14855,biological_process
27,PSPTO_RS04920,molecular_function
28,PSPTO_RS04920,cellular_component
29,PSPTO_RS04920,biological_process
30,PSPTO_RS04880,N-methyltransferase activity
31,PSPTO_RS04880,peptidase activity
32,PSPTO_RS04880,pilus assembly
33,PSPTO_RS04880,protein secretion
34,PSPTO_RS04870,molecular_function
35,PSPTO_RS04870,cellular_component
36,PSPTO_RS04870,biological_process
37,PSPTO_RS11860,fermentation
38,PSPTO_RS11860,methylisocitrate lyase activity
42,PSPTO_RS11100,molecular_function
43,PSPTO_RS11100,cellular_component
44,PSPTO_RS11100,biological_process
45,PSPTO_RS07905,molecular_function
46,PSPTO_RS07905,cellular_component
47,PSPTO_RS07905,biological_process
48,PSPTO_RS07890,molecular_function
49,PSPTO_RS07890,biological_process
50,PSPTO_RS07605,GMP synthase (glutamine-hydrolyzing) activity
51,PSPTO_RS07605,purine ribonucleotide biosynthetic process
60,PSPTO_RS08715,DNA-binding transcription factor activity
61,PSPTO_RS08715,"regulation of transcription, DNA-templated"
62,PSPTO_RS08695,"ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor"
63,PSPTO_RS08695,2'-deoxyribonucleotide biosynthetic process
64,PSPTO_RS27825,molecular_function
65,PSPTO_RS27825,biological_process
66,PSPTO_RS08645,molecular_function
67,PSPTO_RS08640,molecular_function
68,PSPTO_RS08640,cellular_component
69,PSPTO_RS08640,biological_process
72,PSPTO_RS08570,molecular_function
73,PSPTO_RS08570,cellular_component
74,PSPTO_RS08570,biological_process
75,PSPTO_RS08530,molecular_function
