,gene_id,gene_ontology
76,PSPTO_RS08530,cellular_component
77,PSPTO_RS08530,biological_process
78,PSPTO_RS08505,molecular_function
79,PSPTO_RS08505,cellular_component
80,PSPTO_RS08505,biological_process
81,PSPTO_RS27635,molecular_function
82,PSPTO_RS27635,cellular_component
83,PSPTO_RS27635,biological_process
84,PSPTO_RS08485,molecular_function
85,PSPTO_RS08485,cellular_component
86,PSPTO_RS08485,biological_process
87,PSPTO_RS08425,molecular_function
88,PSPTO_RS08425,cellular_component
89,PSPTO_RS08425,biological_process
93,PSPTO_RS08400,molecular_function
94,PSPTO_RS08400,cellular_component
95,PSPTO_RS08400,biological_process
96,PSPTO_RS08380,biological_process
100,PSPTO_RS08230,molecular_function
101,PSPTO_RS08230,cellular_component
102,PSPTO_RS08230,biological_process
103,PSPTO_RS08025,molecular_function
104,PSPTO_RS08025,cellular_component
105,PSPTO_RS08025,biological_process
106,PSPTO_RS08010,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase activity"
107,PSPTO_RS08010,lysine biosynthetic process via diaminopimelate
111,PSPTO_RS27050,molecular_function
112,PSPTO_RS27050,cellular_component
113,PSPTO_RS27050,biological_process
114,PSPTO_RS07940,molecular_function
115,PSPTO_RS07940,cellular_component
116,PSPTO_RS07940,biological_process
117,PSPTO_RS07935,molecular_function
118,PSPTO_RS07935,cellular_component
119,PSPTO_RS07935,biological_process
120,PSPTO_RS07930,molecular_function
121,PSPTO_RS07930,cellular_component
122,PSPTO_RS07930,biological_process
123,PSPTO_RS26385,molecular_function
124,PSPTO_RS26385,cellular_component
125,PSPTO_RS26385,biological_process
126,PSPTO_RS26380,molecular_function
127,PSPTO_RS26380,biological_process
128,PSPTO_RS27005,molecular_function
129,PSPTO_RS27005,cellular_component
130,PSPTO_RS27005,biological_process
131,PSPTO_RS27000,molecular_function
132,PSPTO_RS27000,cellular_component
133,PSPTO_RS27000,biological_process
134,PSPTO_RS26360,histidine ammonia-lyase activity
135,PSPTO_RS26360,cellular amino acid metabolic process
136,PSPTO_RS07795,molecular_function
137,PSPTO_RS26860,2-oxoglutarate-dependent dioxygenase activity
138,PSPTO_RS26210,molecular_function
139,PSPTO_RS26210,biological_process
142,PSPTO_RS07685,molecular_function
143,PSPTO_RS07685,cellular_component
144,PSPTO_RS07685,biological_process
145,PSPTO_RS07665,molecular_function
146,PSPTO_RS07665,cellular_component
147,PSPTO_RS07665,biological_process
148,PSPTO_RS07635,molecular_function
149,PSPTO_RS07635,cellular_component
150,PSPTO_RS07635,biological_process
154,PSPTO_RS26090,molecular_function
155,PSPTO_RS26090,biological_process
156,PSPTO_RS26085,molecular_function
157,PSPTO_RS26085,cellular_component
158,PSPTO_RS26085,biological_process
159,PSPTO_RS26605,molecular_function
160,PSPTO_RS26605,cellular_component
161,PSPTO_RS26605,biological_process
162,PSPTO_RS07505,nucleoside diphosphate kinase activity
163,PSPTO_RS07505,nucleobase-containing small molecule interconversion
164,PSPTO_RS07500,molecular_function
165,PSPTO_RS07500,cellular_component
166,PSPTO_RS07500,biological_process
167,PSPTO_RS26060,molecular_function
168,PSPTO_RS26060,cellular_component
169,PSPTO_RS26060,biological_process
170,PSPTO_RS07405,molecular_function
171,PSPTO_RS07405,cellular_component
172,PSPTO_RS07405,biological_process
177,PSPTO_RS07205,molecular_function
178,PSPTO_RS07205,biological_process
179,PSPTO_RS07095,molecular_function
180,PSPTO_RS07095,cellular_component
181,PSPTO_RS07095,biological_process
182,PSPTO_RS07075,gluconolactonase activity
183,PSPTO_RS07075,carbohydrate metabolic process
184,PSPTO_RS07015,molecular_function
185,PSPTO_RS07015,cellular_component
186,PSPTO_RS07015,biological_process
187,PSPTO_RS07005,acetyltransferase activity
188,PSPTO_RS06950,molecular_function
189,PSPTO_RS06950,cellular_component
190,PSPTO_RS06950,biological_process
191,PSPTO_RS06945,molecular_function
192,PSPTO_RS06945,cellular_component
193,PSPTO_RS06945,biological_process
194,PSPTO_RS06910,molecular_function
195,PSPTO_RS06910,cellular_component
196,PSPTO_RS06910,biological_process
197,PSPTO_RS06880,molecular_function
198,PSPTO_RS06880,biological_process
202,PSPTO_RS06770,molecular_function
203,PSPTO_RS06770,cellular_component
204,PSPTO_RS06770,biological_process
206,PSPTO_RS24705,molecular_function
207,PSPTO_RS24705,biological_process
211,PSPTO_RS06470,molecular_function
212,PSPTO_RS06470,cellular_component
213,PSPTO_RS06470,biological_process
214,PSPTO_RS06460,molecular_function
215,PSPTO_RS24385,molecular_function
216,PSPTO_RS24385,cellular_component
217,PSPTO_RS24385,biological_process
218,PSPTO_RS06335,molecular_function
219,PSPTO_RS06335,cellular_component
220,PSPTO_RS06335,biological_process
221,PSPTO_RS06320,molecular_function
222,PSPTO_RS06320,cellular_component
223,PSPTO_RS06320,biological_process
224,PSPTO_RS06310,molecular_function
225,PSPTO_RS06310,cellular_component
226,PSPTO_RS06310,biological_process
227,PSPTO_RS06215,molecular_function
228,PSPTO_RS06215,biological_process
235,PSPTO_RS24895,molecular_function
236,PSPTO_RS24895,cellular_component
237,PSPTO_RS24895,biological_process
238,PSPTO_RS06075,molecular_function
239,PSPTO_RS06075,cellular_component
240,PSPTO_RS06075,biological_process
244,PSPTO_RS06035,molecular_function
245,PSPTO_RS06035,cellular_component
246,PSPTO_RS06035,biological_process
250,PSPTO_RS24015,molecular_function
251,PSPTO_RS24015,cellular_component
252,PSPTO_RS24015,biological_process
253,PSPTO_RS05790,molecular_function
254,PSPTO_RS05790,biological_process
255,PSPTO_RS05730,DNA modification
256,PSPTO_RS05730,DNA-methyltransferase activity
257,PSPTO_RS05730,type I site-specific deoxyribonuclease complex
258,PSPTO_RS05725,molecular_function
259,PSPTO_RS05725,cellular_component
260,PSPTO_RS05725,biological_process
261,PSPTO_RS05695,molecular_function
262,PSPTO_RS05695,cellular_component
263,PSPTO_RS05695,biological_process
267,PSPTO_RS05570,molecular_function
268,PSPTO_RS05570,cellular_component
269,PSPTO_RS05570,biological_process
270,PSPTO_RS05565,molecular_function
271,PSPTO_RS05565,cellular_component
272,PSPTO_RS05565,biological_process
273,PSPTO_RS05550,molecular_function
274,PSPTO_RS05550,cellular_component
275,PSPTO_RS05550,biological_process
276,PSPTO_RS05545,molecular_function
277,PSPTO_RS05545,biological_process
278,PSPTO_RS05525,molecular_function
279,PSPTO_RS05525,biological_process
280,PSPTO_RS05520,molecular_function
281,PSPTO_RS05520,cellular_component
282,PSPTO_RS05520,biological_process
283,PSPTO_RS23655,molecular_function
284,PSPTO_RS23655,cellular_component
285,PSPTO_RS23655,biological_process
286,PSPTO_RS05475,molecular_function
287,PSPTO_RS05475,cellular_component
288,PSPTO_RS05475,biological_process
292,PSPTO_RS05305,molecular_function
293,PSPTO_RS05305,biological_process
294,PSPTO_RS05095,molecular_function
295,PSPTO_RS05095,cellular_component
296,PSPTO_RS05095,biological_process
297,PSPTO_RS22600,catalytic activity
298,PSPTO_RS22595,molecular_function
299,PSPTO_RS22575,molecular_function
300,PSPTO_RS22575,cellular_component
301,PSPTO_RS22575,biological_process
302,PSPTO_RS05015,peptidoglycan metabolic process
303,PSPTO_RS05015,N-acetylmuramoyl-L-alanine amidase activity
304,PSPTO_RS02980,"transcription, DNA-templated"
305,PSPTO_RS02830,molecular_function
306,PSPTO_RS02830,biological_process
307,PSPTO_RS02515,molecular_function
308,PSPTO_RS02515,cellular_component
309,PSPTO_RS02515,biological_process
310,PSPTO_RS16885,nitrite reductase [NAD(P)H] activity
311,PSPTO_RS16865,iron ion transmembrane transporter activity
312,PSPTO_RS16865,iron ion transport
313,PSPTO_RS16865,ATPase-coupled transmembrane transporter activity
314,PSPTO_RS02290,molecular_function
315,PSPTO_RS02290,cellular_component
316,PSPTO_RS02290,biological_process
318,PSPTO_RS16410,molecular_function
319,PSPTO_RS16410,cellular_component
320,PSPTO_RS16410,biological_process
321,PSPTO_RS02185,electron transfer activity
322,PSPTO_RS02185,oxidation-reduction process
323,PSPTO_RS02145,molecular_function
324,PSPTO_RS02145,cellular_component
325,PSPTO_RS02145,biological_process
326,PSPTO_RS16110,molecular_function
327,PSPTO_RS16110,cellular_component
328,PSPTO_RS16110,biological_process
329,PSPTO_RS16050,molecular_function
330,PSPTO_RS16050,biological_process
331,PSPTO_RS02000,molecular_function
332,PSPTO_RS02000,cellular_component
333,PSPTO_RS02000,biological_process
334,PSPTO_RS15745,molecular_function
335,PSPTO_RS15745,biological_process
336,PSPTO_RS01930,sodium ion transport
337,PSPTO_RS01930,sodium:proton antiporter activity
338,PSPTO_RS01930,proton transmembrane transport
339,PSPTO_RS15520,molecular_function
340,PSPTO_RS15520,cellular_component
341,PSPTO_RS15520,biological_process
342,PSPTO_RS15460,molecular_function
343,PSPTO_RS15460,cellular_component
344,PSPTO_RS15460,biological_process
345,PSPTO_RS15400,molecular_function
346,PSPTO_RS15400,cellular_component
347,PSPTO_RS15400,biological_process
348,PSPTO_RS15260,molecular_function
349,PSPTO_RS15260,biological_process
350,PSPTO_RS01790,molecular_function
351,PSPTO_RS01790,cellular_component
352,PSPTO_RS01790,biological_process
353,PSPTO_RS01760,molecular_function
354,PSPTO_RS01760,cellular_component
355,PSPTO_RS01760,biological_process
356,PSPTO_RS15075,oxidoreductase activity
357,PSPTO_RS14970,molecular_function
358,PSPTO_RS14970,cellular_component
359,PSPTO_RS14970,biological_process
360,PSPTO_RS00920,NADPH:quinone reductase activity
361,PSPTO_RS14860,molecular_function
362,PSPTO_RS14860,cellular_component
363,PSPTO_RS14860,biological_process
364,PSPTO_RS14820,molecular_function
365,PSPTO_RS14820,biological_process
366,PSPTO_RS01625,molecular_function
367,PSPTO_RS01625,biological_process
368,PSPTO_RS00885,molecular_function
369,PSPTO_RS00885,cellular_component
370,PSPTO_RS00885,biological_process
371,PSPTO_RS00855,hydrolase activity
372,PSPTO_RS14700,molecular_function
373,PSPTO_RS14700,cellular_component
374,PSPTO_RS14700,biological_process
375,PSPTO_RS14675,molecular_function
376,PSPTO_RS00825,molecular_function
377,PSPTO_RS00825,cellular_component
378,PSPTO_RS00825,biological_process
379,PSPTO_RS00815,molecular_function
380,PSPTO_RS00815,cellular_component
381,PSPTO_RS00815,biological_process
382,PSPTO_RS14560,molecular_function
383,PSPTO_RS00790,molecular_function
384,PSPTO_RS00790,cellular_component
385,PSPTO_RS00790,biological_process
386,PSPTO_RS14380,molecular_function
387,PSPTO_RS14380,cellular_component
388,PSPTO_RS14380,biological_process
389,PSPTO_RS14005,DNA-binding transcription factor activity
390,PSPTO_RS14005,"regulation of transcription, DNA-templated"
391,PSPTO_RS13980,carbohydrate metabolic process
392,PSPTO_RS13980,fructuronate reductase activity
393,PSPTO_RS13925,molecular_function
394,PSPTO_RS13925,cellular_component
395,PSPTO_RS13925,biological_process
396,PSPTO_RS13890,molecular_function
397,PSPTO_RS13890,cellular_component
398,PSPTO_RS13890,biological_process
399,PSPTO_RS13885,molecular_function
400,PSPTO_RS13885,cellular_component
401,PSPTO_RS13885,biological_process
402,PSPTO_RS13875,molecular_function
403,PSPTO_RS13875,cellular_component
404,PSPTO_RS13875,biological_process
405,PSPTO_RS13870,molecular_function
406,PSPTO_RS13870,cellular_component
407,PSPTO_RS13870,biological_process
411,PSPTO_RS13785,ATPase-coupled polyamine transmembrane transporter activity
412,PSPTO_RS13785,putrescine transport
413,PSPTO_RS13785,spermidine transport
414,PSPTO_RS13745,molecular_function
415,PSPTO_RS13745,cellular_component
416,PSPTO_RS13745,biological_process
417,PSPTO_RS13700,molecular_function
418,PSPTO_RS13700,cellular_component
419,PSPTO_RS13700,biological_process
420,PSPTO_RS13690,molecular_function
421,PSPTO_RS13690,cellular_component
422,PSPTO_RS13690,biological_process
425,PSPTO_RS13645,molecular_function
426,PSPTO_RS13645,biological_process
427,PSPTO_RS13640,aldose 1-epimerase activity
428,PSPTO_RS13560,DNA-directed DNA polymerase activity
429,PSPTO_RS13560,DNA replication
430,PSPTO_RS13490,molecular_function
431,PSPTO_RS13490,cellular_component
432,PSPTO_RS13490,biological_process
433,PSPTO_RS13485,molecular_function
434,PSPTO_RS13370,molecular_function
435,PSPTO_RS13370,cellular_component
436,PSPTO_RS13370,biological_process
437,PSPTO_RS13355,molecular_function
438,PSPTO_RS13355,biological_process
439,PSPTO_RS13350,molecular_function
440,PSPTO_RS13350,biological_process
441,PSPTO_RS13340,molecular_function
442,PSPTO_RS13340,cellular_component
443,PSPTO_RS13340,biological_process
444,PSPTO_RS13240,DNA-binding transcription factor activity
445,PSPTO_RS13240,"regulation of transcription, DNA-templated"
446,PSPTO_RS13220,molecular_function
447,PSPTO_RS13220,cellular_component
448,PSPTO_RS13220,biological_process
449,PSPTO_RS13215,molecular_function
450,PSPTO_RS13215,cellular_component
451,PSPTO_RS13215,biological_process
455,PSPTO_RS13180,molecular_function
456,PSPTO_RS13180,cellular_component
457,PSPTO_RS13180,biological_process
458,PSPTO_RS13135,molecular_function
459,PSPTO_RS13135,cellular_component
460,PSPTO_RS13135,biological_process
461,PSPTO_RS13115,molecular_function
462,PSPTO_RS13115,cellular_component
463,PSPTO_RS13115,biological_process
467,PSPTO_RS13100,molecular_function
468,PSPTO_RS13100,biological_process
469,PSPTO_RS13095,molecular_function
470,PSPTO_RS13095,cellular_component
471,PSPTO_RS13095,biological_process
472,PSPTO_RS13035,molecular_function
473,PSPTO_RS13035,biological_process
474,PSPTO_RS13005,molecular_function
475,PSPTO_RS13005,cellular_component
476,PSPTO_RS13005,biological_process
477,PSPTO_RS12995,molecular_function
478,PSPTO_RS12995,biological_process
479,PSPTO_RS12975,molecular_function
480,PSPTO_RS12975,cellular_component
481,PSPTO_RS12975,biological_process
485,PSPTO_RS12815,molecular_function
486,PSPTO_RS12815,cellular_component
487,PSPTO_RS12815,biological_process
488,PSPTO_RS12810,molecular_function
489,PSPTO_RS12810,cellular_component
490,PSPTO_RS12810,biological_process
491,PSPTO_RS12755,molecular_function
492,PSPTO_RS12755,cellular_component
493,PSPTO_RS12755,biological_process
494,PSPTO_RS12750,molecular_function
495,PSPTO_RS12750,cellular_component
496,PSPTO_RS12750,biological_process
503,PSPTO_RS12730,sarcosine oxidase activity
504,PSPTO_RS12725,sarcosine oxidase activity
505,PSPTO_RS12695,molecular_function
506,PSPTO_RS12695,cellular_component
507,PSPTO_RS12695,biological_process
514,PSPTO_RS12635,molecular_function
515,PSPTO_RS12635,cellular_component
516,PSPTO_RS12635,biological_process
517,PSPTO_RS12590,molecular_function
518,PSPTO_RS12590,cellular_component
519,PSPTO_RS12590,biological_process
520,PSPTO_RS12585,amidase activity
521,PSPTO_RS12515,molecular_function
522,PSPTO_RS12515,cellular_component
523,PSPTO_RS12515,biological_process
524,PSPTO_RS12510,molecular_function
525,PSPTO_RS12510,cellular_component
526,PSPTO_RS12510,biological_process
527,PSPTO_RS12455,DNA-binding transcription factor activity
528,PSPTO_RS12455,"regulation of transcription, DNA-templated"
529,PSPTO_RS12450,biological_process
530,PSPTO_RS12435,molecular_function
531,PSPTO_RS12430,molecular_function
532,PSPTO_RS12430,cellular_component
533,PSPTO_RS12430,biological_process
534,PSPTO_RS12420,molecular_function
535,PSPTO_RS12420,cellular_component
536,PSPTO_RS12420,biological_process
537,PSPTO_RS12415,molecular_function
538,PSPTO_RS12415,cellular_component
539,PSPTO_RS12415,biological_process
540,PSPTO_RS12380,DNA-binding transcription factor activity
541,PSPTO_RS12380,"regulation of transcription, DNA-templated"
542,PSPTO_RS12340,molecular_function
543,PSPTO_RS12340,cellular_component
544,PSPTO_RS12340,biological_process
545,PSPTO_RS12330,molecular_function
546,PSPTO_RS12330,biological_process
550,PSPTO_RS12315,D-ribose-importing ATPase activity
551,PSPTO_RS12315,D-ribose transmembrane transport
552,PSPTO_RS12285,molecular_function
553,PSPTO_RS12285,biological_process
554,PSPTO_RS12280,molecular_function
555,PSPTO_RS12280,cellular_component
556,PSPTO_RS12280,biological_process
557,PSPTO_RS12275,deoxyribonuclease I activity
558,PSPTO_RS12275,DNA catabolic process
559,PSPTO_RS12275,outer membrane-bounded periplasmic space
560,PSPTO_RS12260,molecular_function
561,PSPTO_RS12255,molecular_function
562,PSPTO_RS12255,cellular_component
563,PSPTO_RS12255,biological_process
564,PSPTO_RS12245,molecular_function
565,PSPTO_RS12245,cellular_component
566,PSPTO_RS12245,biological_process
570,PSPTO_RS12175,molecular_function
571,PSPTO_RS12175,biological_process
572,PSPTO_RS12145,"protocatechuate 3,4-dioxygenase activity"
573,PSPTO_RS12145,"3,4-dihydroxybenzoate metabolic process"
574,PSPTO_RS11915,molecular_function
575,PSPTO_RS11915,biological_process
576,PSPTO_RS11885,molecular_function
577,PSPTO_RS11885,cellular_component
578,PSPTO_RS11885,biological_process
579,PSPTO_RS11880,molecular_function
580,PSPTO_RS11845,molecular_function
581,PSPTO_RS11845,biological_process
582,PSPTO_RS11795,molecular_function
583,PSPTO_RS11795,cellular_component
584,PSPTO_RS11795,biological_process
588,PSPTO_RS11755,molecular_function
589,PSPTO_RS11755,cellular_component
590,PSPTO_RS11755,biological_process
591,PSPTO_RS11750,molecular_function
592,PSPTO_RS11750,cellular_component
593,PSPTO_RS11750,biological_process
594,PSPTO_RS11735,molecular_function
595,PSPTO_RS11735,cellular_component
596,PSPTO_RS11735,biological_process
597,PSPTO_RS11665,molecular_function
598,PSPTO_RS11665,biological_process
599,PSPTO_RS11635,molecular_function
600,PSPTO_RS11635,cellular_component
601,PSPTO_RS11635,biological_process
602,PSPTO_RS11615,molecular_function
603,PSPTO_RS11615,biological_process
610,PSPTO_RS11555,molecular_function
611,PSPTO_RS11540,transcription regulatory region sequence-specific DNA binding
612,PSPTO_RS11540,DNA-binding transcription activator activity
613,PSPTO_RS11540,protein-DNA complex
614,PSPTO_RS11540,"negative regulation of transcription, DNA-templated"
615,PSPTO_RS11540,"negative regulation of transcription, DNA-templated"
616,PSPTO_RS11540,"positive regulation of transcription, DNA-templated"
617,PSPTO_RS11540,"positive regulation of transcription, DNA-templated"
618,PSPTO_RS11530,molecular_function
619,PSPTO_RS11530,biological_process
620,PSPTO_RS11500,molecular_function
621,PSPTO_RS11500,cellular_component
622,PSPTO_RS11500,biological_process
623,PSPTO_RS11495,glycerol-3-phosphate dehydrogenase [NAD+] activity
624,PSPTO_RS11495,glycerol-3-phosphate metabolic process
625,PSPTO_RS11495,phospholipid biosynthetic process
626,PSPTO_RS11465,molecular_function
627,PSPTO_RS11465,biological_process
628,PSPTO_RS11455,molecular_function
629,PSPTO_RS11455,cellular_component
630,PSPTO_RS11455,biological_process
631,PSPTO_RS11390,molecular_function
632,PSPTO_RS11390,cellular_component
633,PSPTO_RS11390,biological_process
634,PSPTO_RS11385,molecular_function
635,PSPTO_RS11385,cellular_component
636,PSPTO_RS11385,biological_process
637,PSPTO_RS11320,biological_process
638,PSPTO_RS11315,2-dehydro-3-deoxy-phosphogluconate aldolase activity
639,PSPTO_RS11315,4-hydroxy-2-oxoglutarate aldolase activity
640,PSPTO_RS11315,Entner-Doudoroff pathway through 6-phosphogluconate
641,PSPTO_RS11310,2-dehydro-3-deoxygalactonokinase activity
642,PSPTO_RS11310,galactonate metabolic process
643,PSPTO_RS11280,molecular_function
644,PSPTO_RS11280,biological_process
645,PSPTO_RS11270,molecular_function
646,PSPTO_RS11270,biological_process
647,PSPTO_RS11220,L-aspartate:2-oxoglutarate aminotransferase activity
648,PSPTO_RS11220,aspartate biosynthetic process
652,PSPTO_RS11105,molecular_function
653,PSPTO_RS11105,cellular_component
654,PSPTO_RS11105,biological_process
655,PSPTO_RS11070,molecular_function
656,PSPTO_RS11070,biological_process
657,PSPTO_RS11050,transcription regulatory region sequence-specific DNA binding
658,PSPTO_RS11050,DNA-binding transcription activator activity
659,PSPTO_RS11050,protein-DNA complex
660,PSPTO_RS11050,"positive regulation of transcription, DNA-templated"
661,PSPTO_RS11050,"positive regulation of transcription, DNA-templated"
662,PSPTO_RS11015,molecular_function
663,PSPTO_RS11015,biological_process
664,PSPTO_RS10985,molecular_function
665,PSPTO_RS10985,cellular_component
666,PSPTO_RS10985,biological_process
667,PSPTO_RS10980,catalytic activity
668,PSPTO_RS10980,response to radiation
669,PSPTO_RS10970,sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glyceronetransferase activity
670,PSPTO_RS10955,molecular_function
671,PSPTO_RS10955,cellular_component
672,PSPTO_RS10955,biological_process
673,PSPTO_RS10940,molecular_function
674,PSPTO_RS10940,cellular_component
675,PSPTO_RS10940,biological_process
676,PSPTO_RS10875,molecular_function
677,PSPTO_RS10875,cellular_component
678,PSPTO_RS10875,biological_process
679,PSPTO_RS10850,molecular_function
680,PSPTO_RS10850,cellular_component
681,PSPTO_RS10850,biological_process
682,PSPTO_RS10845,molecular_function
683,PSPTO_RS10810,molecular_function
684,PSPTO_RS10810,cellular_component
685,PSPTO_RS10810,biological_process
686,PSPTO_RS10790,molecular_function
687,PSPTO_RS10790,cellular_component
688,PSPTO_RS10790,biological_process
689,PSPTO_RS10765,molecular_function
690,PSPTO_RS10765,cellular_component
691,PSPTO_RS10765,biological_process
696,PSPTO_RS10480,molecular_function
697,PSPTO_RS10450,molecular_function
698,PSPTO_RS10450,cellular_component
699,PSPTO_RS10450,biological_process
700,PSPTO_RS10345,molecular_function
701,PSPTO_RS10345,cellular_component
702,PSPTO_RS10345,biological_process
703,PSPTO_RS10340,DNA-binding transcription factor activity
704,PSPTO_RS10340,"regulation of transcription, DNA-templated"
705,PSPTO_RS10315,molecular_function
708,PSPTO_RS10295,chemotaxis
709,PSPTO_RS10280,"DNA-templated transcription, initiation"
710,PSPTO_RS10280,sigma factor activity
711,PSPTO_RS10245,molecular_function
712,PSPTO_RS10225,bacterial-type flagellum
713,PSPTO_RS10200,molecular_function
714,PSPTO_RS10200,biological_process
715,PSPTO_RS10150,molecular_function
716,PSPTO_RS10150,cellular_component
717,PSPTO_RS10150,biological_process
718,PSPTO_RS10145,molecular_function
719,PSPTO_RS10110,bacterial-type flagellum hook-filament junction
720,PSPTO_RS10080,structural molecule activity
721,PSPTO_RS10080,"bacterial-type flagellum basal body, proximal rod"
725,PSPTO_RS10045,molecular_function
726,PSPTO_RS10045,cellular_component
727,PSPTO_RS10045,biological_process
728,PSPTO_RS10010,molecular_function
729,PSPTO_RS10010,cellular_component
730,PSPTO_RS10010,biological_process
731,PSPTO_RS09985,molecular_function
732,PSPTO_RS09985,cellular_component
733,PSPTO_RS09985,biological_process
734,PSPTO_RS09955,molecular_function
735,PSPTO_RS09955,cellular_component
736,PSPTO_RS09955,biological_process
737,PSPTO_RS09915,molecular_function
738,PSPTO_RS09915,biological_process
739,PSPTO_RS09875,molecular_function
740,PSPTO_RS09875,cellular_component
741,PSPTO_RS09875,biological_process
742,PSPTO_RS09860,molecular_function
743,PSPTO_RS09860,cellular_component
744,PSPTO_RS09860,biological_process
745,PSPTO_RS09845,molecular_function
746,PSPTO_RS09845,cellular_component
747,PSPTO_RS09845,biological_process
748,PSPTO_RS09840,molecular_function
749,PSPTO_RS09840,biological_process
750,PSPTO_RS09820,molecular_function
751,PSPTO_RS09820,cellular_component
752,PSPTO_RS09820,biological_process
759,PSPTO_RS09750,molecular_function
760,PSPTO_RS09750,cellular_component
761,PSPTO_RS09750,biological_process
762,PSPTO_RS09745,polyamine biosynthetic process
763,PSPTO_RS09745,"transferase activity, transferring alkyl or aryl (other than methyl) groups"
764,PSPTO_RS09705,molecular_function
765,PSPTO_RS09705,cellular_component
766,PSPTO_RS09705,biological_process
767,PSPTO_RS09655,molecular_function
768,PSPTO_RS09655,cellular_component
769,PSPTO_RS09655,biological_process
770,PSPTO_RS09635,molecular_function
771,PSPTO_RS09635,cellular_component
772,PSPTO_RS09635,biological_process
773,PSPTO_RS09585,threonine aldolase activity
777,PSPTO_RS09560,"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor"
778,PSPTO_RS09540,DNA-binding transcription factor activity
779,PSPTO_RS09540,"regulation of transcription, DNA-templated"
780,PSPTO_RS09535,L-histidine transmembrane transporter activity
781,PSPTO_RS09535,histidine transport
782,PSPTO_RS09530,molecular_function
783,PSPTO_RS09530,cellular_component
784,PSPTO_RS09530,biological_process
787,PSPTO_RS09500,DNA-binding transcription factor activity
788,PSPTO_RS09485,molecular_function
789,PSPTO_RS09485,cellular_component
790,PSPTO_RS09485,biological_process
791,PSPTO_RS09355,molecular_function
792,PSPTO_RS09355,biological_process
793,PSPTO_RS28560,molecular_function
794,PSPTO_RS28560,cellular_component
795,PSPTO_RS28560,biological_process
796,PSPTO_RS09285,molecular_function
797,PSPTO_RS09285,cellular_component
798,PSPTO_RS09285,biological_process
799,PSPTO_RS09255,response to tellurium ion
800,PSPTO_RS09250,molecular_function
801,PSPTO_RS09250,cellular_component
802,PSPTO_RS09250,biological_process
806,PSPTO_RS28440,phosphate ion transport
807,PSPTO_RS28440,ATPase-coupled phosphate ion transmembrane transporter activity
808,PSPTO_RS09210,molecular_function
809,PSPTO_RS09195,molecular_function
810,PSPTO_RS09195,cellular_component
811,PSPTO_RS09195,biological_process
812,PSPTO_RS09180,molecular_function
813,PSPTO_RS09180,cellular_component
814,PSPTO_RS09180,biological_process
815,PSPTO_RS28360,molecular_function
816,PSPTO_RS28360,cellular_component
817,PSPTO_RS28360,biological_process
818,PSPTO_RS28355,molecular_function
