,P. syringae monoculture,,,,,,P. syringae - C. violaceum coculture,,,,,,P. syringae - B. thailandensis coculture,,,,,,P. syringae - C. violaceum - B. thailandensis coculture,,,,,
,12.5,25,30,35,40,45,12.5,25,30,35,40,45,12.5,25,30,35,40,45,12.5,25,30,35,40,45
Chemotaxis,-3.47E-18,-3.648824055,-4.513425035,-5.346543896,-8.339195253,-7.108449671,-7.420132889,-5.704758495,-6.135066872,-7.91671056,-8.289309001,-8.059496126,-6.538574003,-11.93956013,-9.773225152,-8.81865462,-10.41184241,-6.152470907,-15.88833652,-12.00285544,-9.754510386,-8.694513163,-14.76452219,-10.30051985
Recombination,-2.50E-11,12.3573616,14.6589702,12.07192663,11.32345455,10.4907855,-1.945144364,16.60842417,18.86945358,21.81936777,23.7857456,23.10204459,12.67481133,16.2394632,20.17006044,22.4708536,24.16054336,27.87524935,2.824959574,28.39282872,20.02185138,22.02280743,25.83436874,25.51970116
Unchar-9,2.50E-11,-0.626749355,-0.408529375,-1.202236585,-1.388365153,-1.752011495,-5.179359764,-8.413013333,-8.205900105,-8.561168789,-8.299707228,-7.964937996,-4.28305446,-11.12280809,-14.12814742,-16.51894594,-16.86136243,-18.57035349,-7.108382352,-21.11580836,-22.2660438,-23.82847086,-23.95217808,-24.17282346
Resistance-1,-2.50E-11,-0.010511948,-0.210266738,0.126172932,0.040668885,0.227659445,-1.226252139,0.491650335,1.347510515,1.736077364,2.385104531,3.111653131,5.797456108,10.35142211,13.31004742,15.67385388,16.66595825,18.40547289,1.637674372,15.39088052,13.80731278,15.255102,16.27722813,16.44893569
Sulfur-2,5.55E-17,3.280638925,2.577829471,3.526437041,1.521496522,3.217859332,-1.464147347,1.561154626,0.179517791,-0.966567128,-1.910868666,2.450003071,-24.19339692,-23.2243611,-19.79661496,-17.36599748,-17.70148122,-11.77353936,-21.27505438,-25.23379151,-19.02366167,-13.93134335,-10.34887514,-5.964747725
Unchar-6,-2.50E-11,2.397269326,3.649167526,0.210312783,2.9753636,3.093442305,2.069947178,1.866257269,1.097895831,2.470091173,-2.524856322,2.872952459,0.681228486,9.483570508,11.40520502,13.08990273,11.14724977,5.137505909,3.270857833,11.49359407,6.34639943,11.24140395,13.18276501,12.82831828
Transport,2.22E-16,-22.17064699,-24.5861237,-20.74777228,-19.17148771,-18.63303641,-27.36900205,-25.61236862,-26.36418941,-27.46977818,-28.56114624,-28.62867554,-28.03797651,-29.24273289,-31.05329259,-31.34498934,-31.35074438,-31.06739861,-27.61899213,-32.3536512,-29.00505658,-29.53143151,-30.50929471,-29.89426285
Chaperone,-2.50E-11,2.728433827,2.463219959,1.192224878,-1.391602591,-0.286117937,-1.728154295,2.251668677,2.074361439,1.631538252,1.731794915,2.957747602,-22.64447295,-3.383174636,1.459742042,2.880118638,3.722583026,4.223592758,-22.28864861,4.892207961,-2.259897612,0.42511789,4.213954789,3.931454956
Coronatine,0,-2.219479405,-2.693895222,-2.600846509,-2.361362983,-2.681412142,-2.730910363,-2.254438729,-2.092080199,-1.616075424,-1.297159967,-1.787576465,-8.897508717,-9.752593248,-10.68470719,-10.60414866,-10.46803922,-10.38458614,-9.802445721,-9.681668166,-10.23185656,-10.62486176,-10.04242846,-10.29569993
